id,term,year,quarter,course_id,class_num,school,subject,catalog_num,section,title,instructor,start_time,end_time,meeting_days
126645,2015 Spring,2015,Spring,4665,37535,SPCH,THEATRE,366-0,27,Special Topics in History,Gina Marie Disalvo,12:30,13:50,TuTh
126665,2015 Spring,2015,Spring,4689,37565,SPCH,THEATRE,442-0,27,Theatre Practice,,,,
126666,2015 Spring,2015,Spring,4702,38575,SPCH,THEATRE,450-0,20,Topics in Stage Design,Marcus Bipin Doshi,08:00,10:50,Mo
126667,2015 Spring,2015,Spring,16593,37588,SPCH,THEATRE,462-1,20,Advanced Studies in Lighting Design,Marcus Bipin Doshi,10:00,13:50,We
128657,2015 Spring,2015,Spring,4713,39101,SPCH,THEATRE,546-0,1,Seminar-Studies in Theatre,Linda Roethke,14:30,16:20,Mo
126626,2015 Spring,2015,Spring,4614,37518,SPCH,THEATRE,341-3,24,Acting II: Analysis and Performance,David S Catlin,15:00,16:50,MoWe
126625,2015 Spring,2015,Spring,4614,37517,SPCH,THEATRE,341-3,23,Acting II: Analysis and Performance,Gail S Shapiro,09:00,10:50,TuTh
126627,2015 Spring,2015,Spring,4614,37519,SPCH,THEATRE,341-3,25,Acting II: Analysis and Performance,Aaron Todd Douglas,11:00,12:50,MoWe
126636,2015 Spring,2015,Spring,4643,37529,SPCH,THEATRE,352-2,21,Music Theatre Techniques,David Howard Bell,15:00,16:50,MoFr
126635,2015 Spring,2015,Spring,4643,37528,SPCH,THEATRE,352-2,20,Music Theatre Techniques,David Howard Bell,13:00,14:50,MoFr
126637,2015 Spring,2015,Spring,18571,37594,SPCH,THEATRE,356-4,20,Drawing & Painting for the Theatre: Drafting,Todd A Rosenthal,08:00,09:50,WeFr
126638,2015 Spring,2015,Spring,4654,37530,SPCH,THEATRE,360-0,20,Problems in Stagecraft,Laura J. Schellhardt,15:00,17:50,We
126639,2015 Spring,2015,Spring,4660,37532,SPCH,THEATRE,364-2,20,Period Pattern Drafting and Draping,Pamela Brailey,09:00,11:50,Tu
