id,term,course_id,class_num,school,subject,catalog_num,section,title,instructor,start_time,end_time,meeting_days,enrollment_count,response_count,question0_average_rating,question1_average_rating,question2_average_rating,question3_average_rating,question4_average_rating
1737,2014 Spring,19630,34968,MEAS,EECS,100-0,20,"Electrons, Photons, and Bits:  Adventures in Electrical and Computer Engineering",Allen Taflove,16:00,16:50,MoTuWeFr,14,11,4.55,4.45,4.45,3.55,4.00
12279,2013 Spring,19630,38498,MEAS,EECS,100-0,20,"Electrons, Photons, and Bits:  Adventures in Electrical and Computer Engineering",Allen Taflove,16:00,16:50,MoTuWeFr,14,7,4.67,4.83,5.00,4.17,5.00
51955,2014 Spring,3900,35963,MUSIC,STRINGS,241-0,23,Applied Violin for Music Majors,Gerardo Ribeiro,,,,4,3,,,,,
109680,2014 Fall,8093,14597,MEAS,EECS,101-0,20,An Introduction to Computer Science for Everyone,Haoqi Zhang,15:00,15:50,MoWe,81,58,4.25,3.88,3.75,2.94,3.64
58458,2013 Fall,8093,16593,MEAS,EECS,101-0,20,An Introduction to Computer Science for Everyone,Haoqi Zhang,15:00,15:50,MoWe,100,76,4.02,3.24,3.34,3.01,3.78
47817,2012 Fall,8093,17365,MEAS,EECS,101-0,20,An Introduction to Computer Science for Everyone,Jason Hartline,15:00,15:50,MoWe,84,55,4.33,3.96,3.63,3.37,4.04
83299,2010 Spring,8093,38125,MEAS,EECS,101-0,20,An Introduction to Computer Science for Everyone,Peter Dinda,15:30,16:50,TuTh,55,38,4.19,3.58,3.56,3.00,3.42
58459,2013 Fall,4963,16161,MEAS,EECS,110-0,20,Introduction to Computer Programming,John Tumblin,10:00,10:50,MoTuWeFr,25,20,3.78,3.78,4.79,4.26,3.53
5753,2011 Spring,19694,37986,MEAS,EECS,195-0,20,"Electroncs, Photons, and Bits: Adventures in Electrical and Computer Engineering",Allen Taflove,16:00,16:50,MoTuWeFr,9,3,5.50,5.50,4.50,4.00,5.00
12685,2013 Spring,4763,36095,SPCH,CMN,380-7,22,Junior Tutorial,Gail Shapiro,12:00,15:00,We,7,2,,,,,
73304,2011 Spring,8093,34426,MEAS,EECS,101-0,20,An Introduction to Computer Science for Everyone,Ming-Yang Kao,15:30,16:50,TuTh,50,35,3.59,3.09,3.54,3.00,3.26
93426,2009 Spring,8093,31938,MEAS,EECS,101-0,20,An Introduction to Computer Science for Everyone,Peter Dinda,15:30,16:50,TuTh,44,31,4.48,3.93,3.79,2.90,4.21
109681,2014 Fall,4963,14199,MEAS,EECS,110-0,20,Introduction to Computer Programming,John Tumblin,10:00,10:50,MoTuWeFr,29,21,2.71,3.05,4.05,4.14,2.76
52601,2014 Spring,4963,34186,MEAS,EECS,110-0,20,Introduction to Computer Programming,Aleksandar Kuzmanovic,10:00,10:50,MoTuWeFr,44,17,4.21,4.21,4.79,4.86,4.07
55532,2014 Winter,4963,20331,MEAS,EECS,110-0,20,Introduction to Computer Programming,Oliver Cossairt,10:00,10:50,MoWeFr,38,31,3.81,4.00,4.46,4.86,3.68
12280,2013 Spring,4963,34825,MEAS,EECS,110-0,20,Introduction to Computer Programming,Aleksandar Kuzmanovic,10:00,10:50,MoTuWeFr,62,42,4.44,4.57,4.97,4.89,4.34
43966,2013 Winter,4963,22788,MEAS,EECS,110-0,20,Introduction to Computer Programming,John Tumblin,10:00,10:50,MoWeFr,51,33,2.66,3.13,3.63,4.40,2.43
47818,2012 Fall,4963,14033,MEAS,EECS,110-0,20,Introduction to Computer Programming,Lawrence Birnbaum,10:00,10:50,MoTuWeFr,37,31,2.73,2.87,3.27,3.60,2.93
61755,2012 Spring,4963,34385,MEAS,EECS,110-0,20,Introduction to Computer Programming,Aleksandar Kuzmanovic,10:00,10:50,MoTuWeFr,49,33,4.48,4.50,5.22,5.09,4.44
65404,2012 Winter,4963,23819,MEAS,EECS,110-0,20,Introduction to Computer Programming,John Tumblin,10:00,10:50,MoWeFr,57,36,3.24,3.38,3.67,3.81,2.88
69011,2011 Fall,4963,14020,MEAS,EECS,110-0,20,Introduction to Computer Programming,Lawrence Birnbaum,10:00,10:50,MoTuWeFr,36,24,3.63,3.61,4.42,4.30,3.96
73305,2011 Spring,4963,34317,MEAS,EECS,110-0,20,Introduction to Computer Programming,Aleksandar Kuzmanovic,10:00,10:50,MoTuWeFr,41,27,4.52,4.48,4.57,4.55,3.86
76559,2011 Winter,4963,23695,MEAS,EECS,110-0,20,Introduction to Computer Programming,John Tumblin,10:00,10:50,MoTuWeFr,36,27,3.75,3.25,4.00,3.92,3.25
79909,2010 Fall,4963,13959,MEAS,EECS,110-0,20,Introduction to Computer Programming,Lawrence Birnbaum,10:00,10:50,MoTuWeFr,36,26,3.70,3.92,3.92,4.40,4.28
83300,2010 Spring,4963,37891,MEAS,EECS,110-0,20,Introduction to Computer Programming,Aleksandar Kuzmanovic,10:00,10:50,MoTuWeFr,36,26,4.67,4.58,5.00,4.61,4.42
86503,2010 Winter,4963,20284,MEAS,EECS,110-0,20,Introduction to Computer Programming,John Tumblin,10:00,10:50,MoWeFr,30,22,4.09,4.14,4.14,3.59,3.67
89735,2009 Fall,4963,11534,MEAS,EECS,110-0,20,Introduction to Computer Programming,Lawrence Birnbaum,10:00,10:50,MoTuWeFr,36,24,4.13,4.29,4.30,4.35,4.74
93427,2009 Spring,4963,31630,MEAS,EECS,110-0,20,Introduction to Computer Programming,Aleksandar Kuzmanovic,10:00,10:50,MoTuWeFr,38,25,4.38,4.38,4.96,5.17,4.25
96330,2009 Winter,4963,20053,MEAS,EECS,110-0,20,Introduction to Computer Programming,John Tumblin,10:00,10:50,MoTuWeFr,24,17,4.18,4.41,4.41,4.53,3.76
109682,2014 Fall,4964,13698,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Sara Owsley,12:00,12:50,MoWeFr,169,120,5.66,5.29,4.90,4.55,5.42
55533,2014 Winter,4964,20511,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Ian Horswill,14:00,14:50,MoWeFr,172,131,5.02,4.58,4.41,4.56,4.48
58460,2013 Fall,4964,15639,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Ian Horswill,12:00,12:50,MoWeFr,182,145,5.25,4.75,4.65,4.47,4.90
43967,2013 Winter,4964,22978,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Douglas Downey,14:00,14:50,MoTuWeFr,91,61,4.56,4.24,4.27,4.19,4.17
65405,2012 Winter,4964,24133,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Douglas Downey,14:00,14:50,MoTuWeFr,70,51,4.51,4.47,4.57,4.35,4.51
69012,2011 Fall,4964,13454,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Ian Horswill,11:00,11:50,MoWeFr,112,85,5.20,4.82,4.48,4.49,5.04
76560,2011 Winter,4964,24023,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Douglas Downey,14:00,14:50,MoWeFr,46,34,4.78,4.84,4.85,4.94,4.79
79910,2010 Fall,4964,13377,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Ian Horswill,11:00,11:50,MoWeFr,82,61,5.40,5.12,4.73,4.07,5.00
86504,2010 Winter,4964,20972,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Christopher Riesbeck,14:00,14:50,MoTuWeFr,31,21,4.29,4.10,4.25,4.95,3.90
89736,2009 Fall,4964,10262,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Ian Horswill,11:00,11:50,MoWeFr,40,31,5.48,5.32,4.90,4.30,5.32
96331,2009 Winter,4964,20965,MEAS,EECS,111-0,20,Fundamentals of Computer Programming,Lawrence Birnbaum,14:00,14:50,MoTuWeFr,43,31,4.90,4.90,4.77,5.10,5.19
109683,2014 Fall,4966,14200,MEAS,EECS,130-0,20,Tools and Technology of the World-Wide Web,Sara Owsley,11:00,12:20,TuTh,50,38,5.53,5.62,5.28,4.78,5.39
58461,2013 Fall,4966,16162,MEAS,EECS,130-0,20,Tools and Technology of the World-Wide Web,Jonathan Gemmell,11:00,12:20,TuTh,37,27,4.33,4.60,4.45,3.24,3.81
47820,2012 Fall,4966,14034,MEAS,EECS,130-0,20,Tools and Technology of the World-Wide Web,Patrick McNally,11:00,12:20,TuTh,30,27,5.32,5.28,5.12,4.92,5.30
69013,2011 Fall,4966,14021,MEAS,EECS,130-0,20,Tools and Technology of the World-Wide Web,Patrick McNally,11:00,12:20,TuTh,28,18,4.59,4.50,4.82,4.53,5.06
79911,2010 Fall,4966,13960,MEAS,EECS,130-0,20,Tools and Technology of the World-Wide Web,Kristian Hammond,11:00,12:20,TuTh,27,17,3.00,3.20,4.20,4.00,3.27
89737,2009 Fall,4966,11536,MEAS,EECS,130-0,20,Tools and Technology of the World-Wide Web,Kristian Hammond,11:00,12:20,TuTh,38,25,4.24,3.88,3.80,4.28,4.08
109684,2014 Fall,7103,13920,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Arthur Butz,14:00,14:50,MoTuWeFr,33,22,3.26,3.74,3.63,3.68,2.68
52602,2014 Spring,7103,34187,MEAS,EECS,202-0,01,Introduction to Electrical Engineering,Ilya Mikhelson,10:00,10:50,MoTuWeFr,39,21,5.24,4.76,4.88,4.59,4.71
55534,2014 Winter,7103,20512,MEAS,EECS,202-0,20,Introduction to Electrical Engineering,Ilya Mikhelson,10:00,10:50,MoTuWeFr,45,24,4.70,4.26,4.32,4.47,4.58
